geographic_level,code,location,timestamp,action,startdate_action,enddate_action,details_action,Zielgruppe,source
Bundesland,9,Bayern,2020-03-17,"Änderung: Einschränkung der Besuchsrechte für Krankenhäuser, Pflege- und Behinderteneinrichtungen",2020-03-18,,Ausweitung des Verbotes auf ambulant betreute Wohngemeinschaften und weitere Einschränkung der Personengruppen Kinder und Jugendliche im Alter unter 16 Jahren sowie Personen mit Atemwegsinfektionen,Schutz Gefährdeter,Bayerisches Staatsministerium für Gesundheit und Pflege https://www.stmgp.bayern.de/wp-content/uploads/2020/03/20200317_aenderung_allgemeinverfuegung_besuchsrechte_krankenhaeuser_pflege_und-behinderteneinrichtungen_b.pdf
Bundesland,9,Bayern,2020-03-13,"Einschränkung der Besuchsrechte für Krankenhäuser, Pflege- und Behinderteneinrichtungen",2020-03-14,,"Betretungsverbot für Besucher, die Kontaktpersonen sind oder die sich einem Risikogebiet aufgehalten haben, dürfen innerhalb eines Zeitraums von 14 Tagen nach Verlassen dieses Gebiets folgende Einrichtungen nicht betreten.","Reiserückkehrer aus Risikogebieten, Schutz Gefährdeter",Bayerisches Staatsministerium für Gesundheit und Pflege https://www.stmgp.bayern.de/wp-content/uploads/2020/03/20200313_allgemeinverfuegung_stmgp_besuchsverbot.pdf
Bundesland,9,Bayern,2020-03-11,Veranstaltungsverbot,2020-03-11,2020-04-19,Verbot von Veranstaltungen mit mehr als 1000 Teilnehmern,Versammlungen,Bayerisches Staatsministerium für Gesundheit und Pflege https://www.stmgp.bayern.de/wp-content/uploads/2020/03/2020-03-11_veranstaltungen_allgemeinverfuegung.pdf
Bundesland,9,Bayern,2020-03-16,Feststellung des Katastrophenfalls,2020-03-16,,,,"Bayerischen Staatsministeriums des Innern, für Sport und Integration https://www.verkuendung-bayern.de/files/baymbl/2020/115/baymbl-2020-115.pdf"
Bundesland,9,Bayern,2020-03-13,"Einstellung sämtlicher Sport Trainings-, Schulung- und Wettkampfveranstaltungen",2020-03-16,2020-04-19,"Schließung von Sportschulen und BLSV-Sportcamps. BLSV-Veranstaltungen im Präsenzformat sidn abgesagt. Empfehlung an alle Vereine und Fachverbände im BLSV den Spiel-, Trainings- und Wettkampfbetrieb einzustellen.","Versammlungen, Freizeitgestaltung",Bayerischer Landes-Sportverband https://www.blsv.de/fileadmin/user_upload/pdf/Corona/Pressemitteilung.pdf
Bundesland,9,Bayern,2020-03-19,Verschiebung elektiver Eingriffe und geplanter Maßnahmen,2020-03-20,2020-05-15,"Einrichtungen des öffentlichen Gesundheitssystems haben, soweit medizinisch vertretbar, bis auf Weiteres alle planbaren Behandlungen zurückzustellen oder zu unterbrechen, um möglichst umfangreiche Kapazitäten für die Versorgung von COVID-19 Patienten freizumachen.",Gesundheitswesen,Bayerisches Staatsministerium für Gesundheit und Pflege https://www.stmgp.bayern.de/wp-content/uploads/2020/03/verbot-elektive-faelle-in-kh-v-19-03-2020.pdf
Bundesland,9,Bayern,2020-03-06,Betretungsverbot,2020-03-07,,"Schülerinnen und Schüler sowie Kinder bis zur Einschulung, die sich innerhalb der letzten 14 Tage in einem Risikogebiet aufgehalten haben, dürfen für einen Zeitraum von 14 Tagen seit Rückkehr keine Schule, Kindertageseinrichtung, Kindertagespflegestelle oder Heilpädagogische Tagesstätte betreten.","Reiserückkehrer, Kinder",Bayerisches Staatsministerium für Gesundheit und Pflege https://www.verkuendung-bayern.de/files/baymbl/2020/111/baymbl-2020-111.pdf
Bundesland,9,Bayern,2020-02-24,Winterferien,2020-02-24,2020-02-28,Winterferien,"Reiserückkehrer, Kinder, Freizeitgestaltung",
,,,,,,,,,
Bundesland,11,Berlin,2020-03-20,Schließung Förderstätten,2020-03-20,,"Schließung Förderstätten, Behindertenwerkstätten",Schutz Gefährdeter,https://www.berlin.de/presse/pressemitteilungen/index/search?searchtext=corona+coronavirus
Bundesland,11,Berlin,2020-03-20,Sperrung der Spielplätze,2020-03-20,,Sperrung der Spielplätze,"Kinder, Freizeitgestaltung",https://www.berlin.de/presse/pressemitteilungen/index/search?searchtext=corona+coronavirus
Bundesland,11,Berlin,2020-03-19,Öffunung der Supermärkte am WE,2020-03-19,2020-04-19,Verkaufsoffene Sonntage,Versorgung ,https://www.berlin.de/presse/pressemitteilungen/index/search?searchtext=corona+coronavirus
Bundesland,11,Berlin,2020-03-18,Schließung Kultureinrichtungen,2020-03-18,2020-03-19,"Schließung Musikschulen, Einzelhandel, Sportstätten, Rauchergaststätten, einschränkung Krankenhausbesuche,  Bibliotheken, Hochschulen","Versammlungen, Freizeitgestaltung",https://www.berlin.de/ba-lichtenberg/aktuelles/pressemitteilungen/2020/pressemitteilung.908442.php
Bundesland,11,Berlin,2020-03-14,Versammlungen,2020-03-14,2020-04-19,"Verbot von Versammlungen von über 50 Teilnehmern, Rest mit anwesenheitsliste",Versammlungen,https://www.berlin.de/ba-lichtenberg/aktuelles/pressemitteilungen/2020/pressemitteilung.908442.php
Bundesland,11,Berlin,2020-03-17,Schließung der Schulen,2020-03-17,2020-04-19,"Schließung aller Schulen, Notbetreuung",Kinder,https://www.berlin.de/ba-lichtenberg/aktuelles/pressemitteilungen/2020/pressemitteilung.908442.php
Bundesland,11,Berlin,2020-03-12,Schließung Kultureinrichtungen,2020-03-13,2020-04-19,"Schließung Museen, Bibliotheken, Oper und Theater",Freizeitgestaltung,https://www.berlin.de/sen/kulteu/aktuelles/pressemitteilungen/2020/pressemitteilung.906213.php
Bundesland,11,Berlin,2020-03-11,Versammlungen,2020-03-11,,Verbot aller Versammlungen über 1000,Versammlungen,https://www.berlin.de/sen/kulteu/aktuelles/pressemitteilungen/2020/pressemitteilung.906213.php
Bundesland,11,Berlin,2020-02-23,Aufhebung Quarantäne,2020-02-23,2020-02-23,Entlassung der Reiserückkehrer aus Wuhan,Reiserückkehrer,https://www.berlin.de/sen/kulteu/aktuelles/pressemitteilungen/2020/pressemitteilung.906213.php
Bundesland,11,Berlin,2020-02-03,Winterferien,2020-02-03,2020-02-08,Winterferien,"Reiserückkehrer, Kinder, Freizeitgestaltung",
,,,,,,,,,
Bundesland,12,Brandenburg,2020-03-17,Veranstaltungsverbot,2020-03-18,2020-04-19,Absage von Veranstaltungen mit über 50 Teilnehmern. Verbot von Zusammenkünften.,Versammlungen,Land Brandenburg https://www.landesrecht.brandenburg.de/dislservice/public/gvbldetail.jsp?id=8557
Bundesland,12,Brandenburg,2020-03-17,Verbot Ladenöffnung für den Erinzelhandel,2020-03-18,2020-04-19,"Untersagt wird die Öffnung von Ladengeschäften des Einzelhandels jeder Art. Hiervon ausgenommen sind der Lebensmittelhandel, Getränkemärkte, Ban- ken, Apotheken, Drogerien, Sanitätshäuser, Optiker, Hörgeräteakustiker, Fili- alen der Deutschen Post AG, Tierbedarf, Bau- und Gartenmärkte, Tankstel- len, Reinigungen und der Online-Handel.",Freizeitgestaltung,Land Brandenburg https://www.landesrecht.brandenburg.de/dislservice/public/gvbldetail.jsp?id=8557
Bundesland,12,Brandenburg,2020-03-17,Schließung öffentlicher Sportstätten,2020-03-18,2020-04-19,"Badeanstalten, Sportstätten, Spielplätze und Sportbetrieb",Freizeitgestaltung,Land Brandenburg https://www.landesrecht.brandenburg.de/dislservice/public/gvbldetail.jsp?id=8557
Bundesland,12,Brandenburg,2020-03-17,Eingeschränkter Gastronomiebetrieb,2020-03-18,2020-04-19,"Eingeschränkte Öffnungszeiten und Abstandsvorgaben für Gaststätten. Bars, Clubs, Diskotheken, Schankwirtschaften, Kneipen sind zu schließen. Übernachtungsangebote dürfen nur zu notwendigen Zwecken genutzt werden. ",Freizeitgestaltung,Land Brandenburg https://www.landesrecht.brandenburg.de/dislservice/public/gvbldetail.jsp?id=8557
Bundesland,12,Brandenburg,2020-03-17,Personalschulungen in Krankenhäusern,2020-03-18,2020-04-19,"Verfügbares Personal soll im Gebiet der Intensivpflege mit Beatmungseinheiten und der Behandlung von Covid-19 Patienten geschult werden, Ressourcen müssen schwerpunktorientiert eingesetzt werden.",Gesundheitswesen,Land Brandenburg https://www.landesrecht.brandenburg.de/dislservice/public/gvbldetail.jsp?id=8557
Bundesland,12,Brandenburg,2020-03-17,Besuchsverbote,2020-03-18,2020-04-19,"Patienten in Krankenhäusern, Vorsorge- und Rehabilitationseinrichtungen und Hospizen dürfen keinen Besuch empfangen. Ausnahme: Kinder unter 16 Jahren, Schwerstkranke, Pflegeheimbewohner",Schutz Gefährdeter,Land Brandenburg https://www.landesrecht.brandenburg.de/dislservice/public/gvbldetail.jsp?id=8557
Bundesland,12,Brandenburg,2020-03-17,Einschränkung für Einrichtungen für Kinder und Jugendliche,2020-03-18,2020-04-19,Die Elternarbeit in den stationären Einrichtungen der Jugendhilfe und der Eingliederungshilfe wird ausgesetzt. Besuche sind untersagt. ,"Schutz Gefährdeter, Kinder",Land Brandenburg https://www.landesrecht.brandenburg.de/dislservice/public/gvbldetail.jsp?id=8557
Bundesland,12,Brandenburg,2020-03-12,Einschränkung des Schulbetriebs,2020-03-12,2020-03-17,"Verbot von Schulfahrten und Fortbildungen in Risikogebiete, Anweisungen zum Umgang mit Rückkehrenden aus Risikogebieten, Absage von Schulveranstaltungen mit über 100 Teilnehmern und Risikoevaluierung","Kinder, Reiserückkehrer, versammlungen",Land Brandenburg https://mbjs.brandenburg.de/media_fast/6288/corona-mbjs-schreiben_12.pdf
Bundesland,12,Brandenburg,2020-03-13,Beschränkungen für Reiserückkehrende aus Risikogebieten,2020-03-13,2020-03-17,"Beschränkung des Besuchs von Schulen, Kindertageseinrichtungen, Kindertagespflegestellen und stationären Einrichtungen der Pflege- und Eingliederungshilfe","Kinder, Schutz Gefährdeter",Land Brandenburg https://msgiv.brandenburg.de/sixcms/media.php/9/Anlage_1__Allgemeinverfuegung_LK_IfSG_Reiserueckkehrer.pdf
Bundesland,12,Brandenburg,2020-02-03,Winterferien,2020-02-03,2020-02-08,Winterferien,"Reiserückkehrer, Kinder, Freizeitgestaltung",
,,,,,,,,,
Bundesland,4,Bremen,2020-03-16,Schließung Schulen und KiTas,2020-03-16,,Schließung aller Schulen und Kindertagesstätten,Kinder,https://www.bremen.de/corona
Bundesland,4,Bremen,2020-03-16,Verbote,2020-03-16,,"Schließung Theater, Bibliotheken etc., Clubs, Bars, Verbot Vereinstätigkeit, Sportstätten","Freizeitgestaltung, Versammlungen",https://www.bremen.de/corona
Bundesland,4,Bremen,2020-03-18,Besuchsverbot,2020-03-19,,Besuchsverbot in Krankenhäusern und sonst. medizinischen Einrichtungen,"Schutz Gefährdeter, Gesundheitswesen",https://www.amtliche-bekanntmachungen.bremen.de/allgemeinverfuegung-ueber-die-einschraenkung-der-besuchsrechte-fuer-krankenhaeuser-und-weitere-einrichtungen-d-46847881
Bundesland,4,Bremen,2020-03-11,Veranstaltungen,2020-03-12,2020-03-26,"Verbot für Veranstaltungen von über 1000 Menschen, Auflagen für Veranstaltungen von über 250 Menschen unter Meldepflicht",Versammlungen,https://www.amtliche-bekanntmachungen.bremen.de/allgemeinverfuegung-ueber-das-verbot-von-veranstaltungen-und-menschenansammlungen-zur-eindaemmung-des-coronavi-46845504
Bundesland,4,Bremen,2020-02-03,Winterferien,2020-02-03,2020-02-04,Winterferien,"Reiserückkehrer, Kinder, Freizeitgestaltung",
,,,,,,,,,
Bundesland,6,Hessen,2020-03-17,Medizinische Eingriffe,2020-03-18,2020-04-19,Nur unaufschiebbare medizinische Eingriffe werden durchgeführt,Gesundheitswesen,https://www.hessen.de/
Bundesland,6,Hessen,2020-03-17,Schließung von Freizeitaktivitäten und Kultureinrichtungen,2020-03-18,2020-04-19,"Schließung von Clubs, Bars, Hotels, Bibliotheken, Theater, Sportstätten, etc. Betrifft auch Spielplätze. Gaststätten werden eingeschränkt","Freizeitgestaltung, Kinder",https://www.hessen.de/
Bundesland,6,Hessen,2020-03-14,Verbot von Veranstaltungen,2020-03-14,2020-04-19,Verbot von Veranstaltungen von über 100 Teilnehmern,Versammlungen,https://www.hessen.de/
Bundesland,6,Hessen,2020-03-13,Schließung Kindergärten und Besuchsverbote,2020-03-13,2020-04-19,"Schließung von Kindergärten bis auf Kinder medizinisch relevanter Professionen, Einschränkungen der Besuche in Betreuungs und Pflegeeinrichtungen","Kinder, Gesundheitswesen",https://www.hessen.de/
Bundesland,6,Hessen,2020-03-13,Quarantäne für Einreisende aus einem Risikogebiet,2020-03-13,2020-04-19,Einreisende aus Risikogebieten müssen sich unverzüglich 14 Tage in Quarantäne begeben,Reiserückkehrer,https://www.hessen.de/
Bundesland,6,Hessen,2020-03-12,Verbot von Veranstaltungen,2020-03-13,2020-04-10,Verbot von Veranstaltungen von über 1000 Teilnehmern,Versammlungen,https://www.hessen.de/
,,,,,,,,,
,,,,,,,,,
Bundesland,14,Sachsen,2020-03-10,Verbot von Versammlungen,2020-03-10,,"Verbot von Versammlungen mit über 1000 Menschen und Teilnahme von internationalen Gästen, sowie Menschen aus besonders betroffenen Gebieten",Versammlungen,Regierung Sachsen https://www.coronavirus.sachsen.de/amtliche-bekanntmachungen.html
Bundesland,14,Sachsen,2020-03-16,Schließung von Schulen und Kindertagesstätten,2020-03-18,2020-04-17,"Schließung  von Schulen, Kindergärten",Kinder,Regierung Sachsen https://www.coronavirus.sachsen.de/amtliche-bekanntmachungen.html
Bundesland,14,Sachsen,2020-03-19,Betretungsverbot in stationären Kinder- ind Jugendeinrichtungen ,2020-03-19,"
",Betretungsverbot in stationären Kinder- und Jugendeinrichtungen,Kinder,Regierung Sachsen https://www.coronavirus.sachsen.de/amtliche-bekanntmachungen.html
Bundesland,14,Sachsen,2020-03-20,Besuchsverbot in Alten-und Pfelgeheimen,2020-03-21,2020-04-20,Besuchsverbot in Alten- und Pflegeheimen,Schutz Gefährdeter,Regierung Sachsen https://www.coronavirus.sachsen.de/amtliche-bekanntmachungen.html
Bundesland,14,Sachsen,2020-03-20,Schließung von Behindertenwerkstätten,2020-03-21,,,,
,,,,,,,,,
Bundesland,10,Saarland,2020-03-11,Verbot von Veranstaltungen,2020-03-11,unbegrenzt,Verbot von Veranstaltungen mit über 1000 Menschen,,https://www.saarland.de/dokumente/res_soziales/Allgemeinverfuegung.pdf
Bundesland,10,Saarland,2020-03-13,"Schließung Kitas, Schließung Bars Clubs Discos, Kinos etc.",2020-03-13,2020-04-24,,,https://www.saarland.de/dokumente/dienststelle_LAS/Allgemeinverfuegung_Corona_14032020.pdf
Bundesland,10,Saarland,2020-03-16,"Veransammlungsverbot von mehr als 5 Leuten, Schließung aller Freizeiteinrichtungen, religiöse Zusammenkünfte, und Ladengeschäfte (bis auf Lebensmittelgeschäfte)",2020-03-16,,,,https://www.saarland.de/dokumente/dienststelle_LAS/Allgemeinverfuegung_Corona_14032020.pdf
Bundesland,10,Saarland,2020-03-20,Vorläufige Ausgangsbeschränkung,2020-03-20,,,,
,,,,,,,,,
Bundesland,8,Baden-Württemberg,2020-03-20,"Verordnung, Ausgangsbeschränkung",2020-03-21,,,,
Bundesland,8,Baden-Würtemberg,2020-03-11,Verbot von Versammlungen,2020-03-11,,Ab sofort müssen Großveranstaltungen mit mehr als 1.000 Teilnehmenden wegen des Coronavirus abgesagt beziehungsweise ohne Zuschauer durchgeführt werden.,,https://www.baden-wuerttemberg.de/de/service/presse/pressemitteilung/pid/land-untersagt-grossveranstaltungen/
Bundesland,8,Baden-Würtemberg,2020-03-13,Schließung,2020-03-17,2020-04-17,Schließung von Schulen und Kindergärten,,https://www.baden-wuerttemberg.de/de/service/presse/pressemitteilung/pid/landesweite-schliessung-von-schulen-und-kindergaerten/
Bundesland,8,Baden-Würtemberg,2020-03-16,Verbot von Versammlungen,2020-03-17,2020-04-15,"Versammlungen, öffentliche und nichtöffentliche Veranstaltungen, Ansammlungen und sonstige Zusammenkünfte von jeweils mehr als fünf Personen vorbehaltlich des Selbstorganisationsrechts des Landtages und der Gebietskörperschaften sind verboten",,https://www.baden-wuerttemberg.de/de/service/presse/pressemitteilung/pid/land-beschliesst-massnahmen-gegen-die-ausbreitung-des-coronavirus/
Bundesland,8,Baden-Würtemberg,2020-03-16,Schließung,2020-03-17,2020-04-15,Betriebsverbot von Kultur und Freizeitstätten,,https://www.baden-wuerttemberg.de/de/service/presse/pressemitteilung/pid/land-beschliesst-massnahmen-gegen-die-ausbreitung-des-coronavirus/
Bundesland,8,Baden-Würtemberg,2020-03-20,Schließung,2020-03-21,2020-04-15,Schließung von Gaststätten und Friseuren,,https://www.baden-wuerttemberg.de/de/service/presse/pressemitteilung/pid/landesregierung-beschliesst-massnahmen-gegen-die-ausbreitung-des-coronavirus/
Bundesland,8,Baden-Würtemberg,2020-03-20,Verbot von Versammlungen,2020-03-21,2020-04-15,Verbot von Gruppenbildungen von mehr als 3 Personen,,https://www.baden-wuerttemberg.de/de/service/presse/pressemitteilung/pid/landesregierung-beschliesst-massnahmen-gegen-die-ausbreitung-des-coronavirus/
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Bundesland,3,Niedersachsen	,2020-03-16,Schließung,2020-03-16,2020-04-18 (tbd),Beschränkung von sozialen Kontakten im öffentlichen Raum (Schließung von Handel-Freizeit-Kulturstaetten),,https://www.ms.niedersachsen.de/startseite/service_kontakt/presseinformationen/massnahmen-im-kampf-gegen-covid-19-land-untersagt-alle-offentlichen-veranstaltungen-schliessung-aller-freizeit-und-kultureinrichtungen-und-teile-des-einzelhandels-186324.html
Bundesland,3,Niedersachsen	,2020-03-16,Verbot von Versammlungen,2020-03-16,2020-04-18 (tbd),"Verboten werden: (i) Zusammenkünfte in Vereinen und sonstigen Sport- und Freizeiteinrichtungen sowie die Wahrnehmung von Angeboten in Volkshochschulen, Musikschulen und sonstigen öffentlichen und privaten Bildungseinrichtungen im außerschulischen Bereich sowie Reisebusreisen(ii)  Zusammenkünfte in Kirchen, Moscheen, Synagogen und die Zusammenkünfte anderer Glaubensgemeinschaften, einschließlich der Zusammenkünfte in Gemeindezentren (iii)Alle öffentlichen Veranstaltungen; ausgenommen sind Sitzungen kommunaler Vertreter und Gremien sowie des Landtages und der dazugehörigen Ausschüsse und Gremien (iv)Alle Ansammlungen im Freien
(Richtgröße für Ansammlungen: mehr als 10 Personen) (v)Alle privaten Veranstaltungen mit mehr als 50 Teilnehmenden.",,https://www.ms.niedersachsen.de/startseite/service_kontakt/presseinformationen/massnahmen-im-kampf-gegen-covid-19-land-untersagt-alle-offentlichen-veranstaltungen-schliessung-aller-freizeit-und-kultureinrichtungen-und-teile-des-einzelhandels-186324.html
Bundesland,3,Niedersachsen	,2020-03-16,"Erlass zur Ausweitung kontaktreduzierender Maßnahmen für Krankenhäuser, Heime für ältere Menschen",2020-03-16,2020-04-18 (tbd),"Ausweitung kontaktreduzierender Maßnahmen für Krankenhäuser, Vorsorge- und Rehabilitationsejnrichtungen, Heime für ältere Menschen, pflegebedürftige' Menschen oder Menschen mit Behinderungen nach § 2 Abs. 2~Niedersächsisches Gesetz über unterstützende Wohnformen (NuWG);",,https://www.ms.niedersachsen.de/startseite/service_kontakt/presseinformationen/massnahmen-im-kampf-gegen-covid-19-land-untersagt-alle-offentlichen-veranstaltungen-schliessung-aller-freizeit-und-kultureinrichtungen-und-teile-des-einzelhandels-186324.html
Bundesland,3,Niedersachsen	,2020-03-16,"Erlass zur Beschränkung des Zugangs zu den Inselnn, Halligen und Warften",2020-03-16,2020-04-18 (tbd),"Maßnahmen nach § 28 Abs. 1 Satz 1 IfSG, Beschränkung des Zugangs zu den Inseln, Halligen und Warften der Nords",,https://www.ms.niedersachsen.de/startseite/service_kontakt/presseinformationen/massnahmen-im-kampf-gegen-covid-19-land-untersagt-alle-offentlichen-veranstaltungen-schliessung-aller-freizeit-und-kultureinrichtungen-und-teile-des-einzelhandels-186324.html
Bundesland,3,Niedersachsen	,2020-03-16,Erlass zur Ausnahme von der Sonn- und Feiertagsregelung,2020-03-17,n/a,"Zur Sicherstellung der Versorgung von Bürgerinnen und Bürger mit Dingen sowie Waren des täglichen Bedarfs ist den nachstehenden Einrichtungen, die nicht geschlossen sind, zusätzlich der Sonntagsverkauf ermöglicht",,https://www.niedersachsen.de/Coronavirus/erlasse-und-allgemeinverfuegung/erlasse-und-allgemeinverfuegung-185856.html
Bundesland,3,Niedersachsen	,2020-03-17,"Ausweitung kontaktreduzierender Maßnahmen im öffentlichen Bereich: Übernachtungen, Gaststätten, Restaurants und Werkstätten für behinderte Menschen vom",2020-03-17,2020-04-18 (tbd),"Inhalt: Die Beschränkung von sozialen Kontakten im öffentlichen Bereich gilt seit dem 17. März 2020 auch für folgende Bereiche: Übernachtungen, Gaststätten und Restaurants, Werkstätten für behinderte Menschen, Tagesförderstätten für behinderte Menschen sowie vergleichbare Angebote der, Eingliederungshilfe",,https://www.niedersachsen.de/Coronavirus/erlasse-und-allgemeinverfuegung/erlasse-und-allgemeinverfuegung-185856.html
Bundesland,3,Niedersachsen	,2020-03-17,"Amtliche Lebensmittel- und Futtermittelüberwachung, Tiergesundheit, Tierschutz; Durchführung von Kontrollen und Probenahmen",2020-03-17,n/a,Der Erlass richtet sich an die zuständigen kommunalen Behörden sowie das LAVES zur Reduzierung auf zwingend erforderlichen Kontrollen im Bereich des gesundheitlichen Verbraucherschutz.,,https://www.niedersachsen.de/Coronavirus/erlasse-und-allgemeinverfuegung/erlasse-und-allgemeinverfuegung-185856.html
Bundesland,3,Niedersachsen	,2020-03-19,Aussetzung von noch nicht begonnnene medizinische Eingriffe und Behandlungen,2020-03-18,2020-04-18 (tbd),"Zur Sicherstellung von medizinischen Kapazitäten ist verordnet, dass noch nicht begonnnene medizinische Eingriffe und Behandlungen auszusetzen sind, soweit sie nicht dringend medizinisch notwendig sind",,https://www.niedersachsen.de/Coronavirus/erlasse-und-allgemeinverfuegung/erlasse-und-allgemeinverfuegung-185856.html
,,,,,,,,,
,,,,,,,,,
Bundesland,5,NRW,2020-03-13,Verschiebung nicht notwendiger Operationen,,,,,https://www.kreis-re.de/Inhalte/Buergerservice/Gesundheit_und_Ernaehrung/Infektionsschutz/_200313_Empfehlungen%20an%20Krankenh-user%20zur%20Eind-mmung%20des%20Corona-Virus.pdf
Bundesland,5,NRW,2020-03-13,Alle nicht notwendigen Veranstaltungen abgesagt,,,,,
